"event_id","llm_gate"
1,"Non-Classical Monocytes"
2,"Intermediate Monocytes"
3,"unassigned"
4,"IgD- IgMpos B cells"
5,"Macrophages"
6,"Non-Classical Monocytes"
7,"IgD- IgMpos B cells"
8,"Macrophages"
9,"Eosinophils"
10,"unassigned"
11,"unassigned"
12,"unassigned"
13,"Non-Classical Monocytes"
14,"unassigned"
15,"unassigned"
16,"unassigned"
17,"unassigned"
18,"Non-Classical Monocytes"
19,"unassigned"
20,"IgDpos IgMpos B cells"
21,"NKT cells"
22,"Intermediate Monocytes"
23,"unassigned"
24,"Intermediate Monocytes"
25,"Classical Monocytes"
26,"unassigned"
27,"unassigned"
28,"unassigned"
29,"unassigned"
30,"unassigned"
31,"Non-Classical Monocytes"
32,"unassigned"
33,"unassigned"
34,"unassigned"
35,"Classical Monocytes"
36,"unassigned"
37,"unassigned"
38,"unassigned"
39,"Eosinophils"
40,"IgDpos IgMpos B cells"
41,"unassigned"
42,"unassigned"
43,"unassigned"
44,"Non-Classical Monocytes"
45,"Eosinophils"
46,"unassigned"
47,"unassigned"
48,"unassigned"
49,"unassigned"
50,"unassigned"
51,"unassigned"
52,"Intermediate Monocytes"
53,"HSC"
54,"unassigned"
55,"unassigned"
56,"unassigned"
57,"Intermediate Monocytes"
58,"Intermediate Monocytes"
59,"unassigned"
60,"Macrophages"
61,"IgM- IgD- B-cells"
62,"CD8 T cells"
63,"IgDpos IgMpos B cells"
64,"unassigned"
65,"IgM- IgD- B-cells"
66,"Macrophages"
67,"IgDpos IgMpos B cells"
68,"NK cells"
69,"IgD- IgMpos B cells"
70,"unassigned"
71,"unassigned"
72,"IgDpos IgMpos B cells"
73,"Intermediate Monocytes"
74,"Eosinophils"
75,"unassigned"
76,"Macrophages"
77,"unassigned"
78,"unassigned"
79,"IgDpos IgMpos B cells"
80,"Intermediate Monocytes"
81,"IgDpos IgMpos B cells"
82,"unassigned"
83,"unassigned"
84,"IgDpos IgMpos B cells"
85,"unassigned"
86,"unassigned"
87,"unassigned"
88,"unassigned"
89,"unassigned"
90,"IgM- IgD- B-cells"
91,"unassigned"
92,"HSC"
93,"unassigned"
94,"unassigned"
95,"unassigned"
96,"Intermediate Monocytes"
97,"IgD- IgMpos B cells"
98,"unassigned"
99,"Eosinophils"
100,"unassigned"
101,"unassigned"
102,"unassigned"
103,"Non-Classical Monocytes"
104,"unassigned"
105,"unassigned"
106,"unassigned"
107,"unassigned"
108,"unassigned"
109,"unassigned"
110,"Eosinophils"
111,"IgDpos IgMpos B cells"
112,"unassigned"
113,"unassigned"
114,"Intermediate Monocytes"
115,"IgDpos IgMpos B cells"
116,"Eosinophils"
117,"IgD- IgMpos B cells"
118,"unassigned"
119,"Non-Classical Monocytes"
120,"Intermediate Monocytes"
121,"unassigned"
122,"unassigned"
123,"NKT cells"
124,"unassigned"
125,"unassigned"
126,"IgDpos IgMpos B cells"
127,"Intermediate Monocytes"
128,"unassigned"
129,"IgDpos IgMpos B cells"
130,"IgDpos IgMpos B cells"
131,"HSC"
132,"unassigned"
133,"IgDpos IgMpos B cells"
134,"unassigned"
135,"Non-Classical Monocytes"
136,"unassigned"
137,"Macrophages"
138,"Macrophages"
139,"IgDpos IgMpos B cells"
140,"CD8 T cells"
141,"unassigned"
142,"unassigned"
143,"unassigned"
144,"Classical Monocytes"
145,"unassigned"
146,"Macrophages"
147,"unassigned"
148,"MPP"
149,"IgDpos IgMpos B cells"
150,"Eosinophils"
151,"unassigned"
152,"IgD- IgMpos B cells"
153,"unassigned"
154,"unassigned"
155,"Non-Classical Monocytes"
156,"unassigned"
157,"Non-Classical Monocytes"
158,"Non-Classical Monocytes"
159,"unassigned"
160,"Classical Monocytes"
161,"IgDpos IgMpos B cells"
162,"Intermediate Monocytes"
163,"IgDpos IgMpos B cells"
164,"Intermediate Monocytes"
165,"IgM- IgD- B-cells"
166,"unassigned"
167,"Non-Classical Monocytes"
168,"Intermediate Monocytes"
169,"unassigned"
170,"IgDpos IgMpos B cells"
171,"IgDpos IgMpos B cells"
172,"unassigned"
173,"NK cells"
174,"Eosinophils"
175,"CD4 T cells"
176,"unassigned"
177,"NK cells"
178,"Eosinophils"
179,"unassigned"
180,"Non-Classical Monocytes"
181,"IgM- IgD- B-cells"
182,"Intermediate Monocytes"
183,"unassigned"
184,"Intermediate Monocytes"
185,"Intermediate Monocytes"
186,"unassigned"
187,"Intermediate Monocytes"
188,"Eosinophils"
189,"IgDpos IgMpos B cells"
190,"IgDpos IgMpos B cells"
191,"HSC"
192,"Eosinophils"
193,"unassigned"
194,"Eosinophils"
195,"unassigned"
196,"unassigned"
197,"Classical Monocytes"
198,"Intermediate Monocytes"
199,"unassigned"
200,"CD8 T cells"
201,"unassigned"
202,"unassigned"
203,"IgDpos IgMpos B cells"
204,"NKT cells"
205,"IgM- IgD- B-cells"
206,"unassigned"
207,"unassigned"
208,"Macrophages"
209,"Basophils"
210,"CD8 T cells"
211,"Intermediate Monocytes"
212,"IgM- IgD- B-cells"
213,"Macrophages"
214,"Intermediate Monocytes"
215,"unassigned"
216,"unassigned"
217,"Eosinophils"
218,"Classical Monocytes"
219,"Eosinophils"
220,"unassigned"
221,"unassigned"
222,"unassigned"
223,"unassigned"
224,"unassigned"
225,"unassigned"
226,"unassigned"
227,"unassigned"
228,"IgM- IgD- B-cells"
229,"Classical Monocytes"
230,"unassigned"
231,"unassigned"
232,"Eosinophils"
233,"unassigned"
234,"unassigned"
235,"unassigned"
236,"unassigned"
237,"unassigned"
238,"unassigned"
239,"Eosinophils"
240,"unassigned"
241,"IgM- IgD- B-cells"
