"gate_name","expected_file","exists","notes"
"DNA_pos","gate_01_DNA_pos.png",TRUE,""
"Singlets","gate_02_Singlets.png",TRUE,""
"Live","gate_03_Live.png",TRUE,""
"CD45pos_Ter119neg","gate_04_CD45pos_Ter119neg.png",TRUE,""
"Lin_neg","gate_05_Lin_neg.png",TRUE,""
"Eosinophils","gate_06_Eosinophils.png",TRUE,""
"Basophils","gate_07_Basophils.png",TRUE,""
"Myeloid_CD11b","gate_08_Myeloid_CD11b.png",TRUE,""
"Macrophages","gate_09_Macrophages.png",TRUE,""
"Monocytes_CD115pos","gate_10_Monocytes_CD115pos.png",TRUE,""
"Monocyte_subsets","gate_11_Monocyte_subsets.png",TRUE,""
"DC_parent","gate_12_DC_parent.png",TRUE,""
"pDCs","gate_13_pDCs.png",TRUE,""
"mDCs","gate_14_mDCs.png",TRUE,""
"NK_cells","gate_15_NK_cells.png",TRUE,""
"NKT_cells","gate_16_NKT_cells.png",TRUE,""
"TCRb_Tcells","gate_17_TCRb_Tcells.png",TRUE,""
"CD8_Tcells","gate_18_CD8_Tcells.png",TRUE,""
"CD4_Tcells","gate_19_CD4_Tcells.png",TRUE,""
"gd_Tcells","gate_20_gd_Tcells.png",TRUE,""
"B_parent","gate_21_B_parent.png",TRUE,""
"B_subsets","gate_22_B_subsets.png",TRUE,""
"Plasma_Cells","gate_25_Plasma_Cells.png",TRUE,""
"ProB_FracAC","gate_26_ProB_FracAC.png",TRUE,""
"LSK_LK","gate_27_LSK_LK.png",TRUE,""
"HSC","gate_28_HSC.png",TRUE,""
"MPP","gate_29_MPP.png",TRUE,""
"CMP_GMP_MEP","gate_30_CMP_GMP_MEP.png",TRUE,""
"CLP_proxy","gate_31_CLP_proxy.png",TRUE,""
