"label","count","fraction"
"B-cell Frac A-C (pro-B cells)",66,0.000759808436176091
"Basophils",595,0.00684978817461779
"CD4 T cells",566,0.00651593295266163
"CD8 T cells",1066,0.0122720574691472
"Classical Monocytes",4499,0.0517936083993369
"CLP",79,0.000909467673604715
"CMP",375,0.00431709338736416
"Eosinophils",4709,0.0542111806962608
"gd T cells",204,0.0023484988027261
"GMP",313,0.00360333394731995
"HSC",636,0.00732179038496961
"IgD- IgMpos B cells",4568,0.0525879535826119
"IgDpos IgMpos B cells",8496,0.0978080677841223
"IgM- IgD- B-cells",4203,0.0483859826855775
"Intermediate Monocytes",4296,0.0494566218456438
"Macrophages",1980,0.0227942530852827
"mDCs",770,0.00886443175538773
"MEP",313,0.00360333394731995
"MPP",723,0.00832335605083809
"NK cells",846,0.00973936268189353
"NKT cells",1458,0.0167848590900718
"Non-Classical Monocytes",4099,0.0471887087861485
"pDCs",345,0.00397172591637502
"Plasma Cells",418,0.00481212009578191
"unassigned",41241,0.47477666236876
